Name;DOB;Age;V/D;TS;TR;Adversary;Country;Ranking;Table;Weapon;Sex;Category;City;Type;Date
BOUBAKRI Ines;1988-12-28;30;D;5;15;KOROBEYNIKOVA Larisa;RUS;46;;F;F;S;(Katowice);A;2019-01-11
BOUBAKRI Ines;1988-12-28;28;D;10;15;KOROBEYNIKOVA Larisa;RUS;62;;F;F;S;(St-Maur);A;2017-11-03
BOUBAKRI Ines;1988-12-28;25;V;15;10;KOROBEYNIKOVA Larisa;RUS;9;;F;F;S;(St-Petersbourg);A;2014-02-26
BOUBAKRI Ines;1988-12-28;20;D;8;15;KOROBEYNIKOVA Larisa;RUS;15;;F;F;S;(Antalya);CHM;2009-10-01
BOUBAKRI Ines;1988-12-28;18;V;15;7;KOROBEYNIKOVA Larisa;RUS;137;;F;F;S;Caire);A;2007-05-25
BOUBAKRI Ines;1988-12-28;18;V;5;2;KOROBEYNIKOVA Larisa;RUS;137;;F;F;S;Caire);A;2007-05-25
BOUBAKRI Ines;1988-12-28;29;V;15;13;ABDRAKHMANOVA Adelya;RUS;64;;F;F;S;(Tauberbischofsheim);A;2018-04-27
BOUBAKRI Ines;1988-12-28;28;V;15;9;ALBOROVA Yana;RUS;89;;F;F;S;(Cancun);A;2017-10-13
BOUBAKRI Ines;1988-12-28;27;V;15;9;ALBOROVA Yana;RUS;41;;F;F;S;(Tauberbischofsheim);A;2016-05-20
BOUBAKRI Ines;1988-12-28;22;D;0;0;AMMI Ahlem;ALG;201;;F;F;S;Caire);CHZ;2011-07-21
BOUBAKRI Ines;1988-12-28;29;V;5;1;AMOUGOU Marcelle;CMR;358;;E;F;S;(Tunis);CHZ;2018-06-05
BOUBAKRI Ines;1988-12-28;20;V;15;13;ANDREI Andreea;ROU;321;;F;F;S;(Antalya);CHM;2009-10-01
BOUBAKRI Ines;1988-12-28;18;V;5;1;ANG Joan Liting;SGP;339;;F;F;J;(Belek);CHM;2007-04-15
BOUBAKRI Ines;1988-12-28;18;V;5;0;ANTALOVA Adela;SVK;311;;F;F;J;(Zagreb);A;2007-02-24
BOUBAKRI Ines;1988-12-28;21;V;5;1;ARIAS CUELLAR Mirian Gabriela;SVK;311;;F;F;S;(Paris);CHM;2010-11-05
BOUBAKRI Ines;1988-12-28;24;V;15;12;ASHRAF Nada;EGY;72;;E;F;S;Town);CHZ;2013-06-26
BOUBAKRI Ines;1988-12-28;22;V;15;7;ASHRAF Nada;EGY;69;;E;F;S;Caire);CHZ;2011-07-21
BOUBAKRI Ines;1988-12-28;20;V;5;1;ATIF Hanane;MAR;67;;F;F;S;(Dakar);CHZ;2009-08-07
BOUBAKRI Ines;1988-12-28;19;V;15;6;BAGNOLINI Joanna;FRA;61;;F;F;J;(Waldkirch);A;2008-01-27
BOUBAKRI Ines;1988-12-28;18;D;12;15;BAILEY Victoria;FRA;12;;F;F;J;(Belek);CHM;2007-04-15
BOUBAKRI Ines;1988-12-28;18;V;5;1;BANNWARTH Claire;FRA;19;;F;F;J;Sabbiadoro);A;2007-12-07
BOUBAKRI Ines;1988-12-28;28;D;13;15;BATINI Martina;ITA;67;;F;F;S;(Cancun);A;2017-10-13
BOUBAKRI Ines;1988-12-28;25;D;12;15;BATINI Martina;ITA;3;;F;F;S;(Kazan);CHM;2014-07-16
BOUBAKRI Ines;1988-12-28;25;D;8;15;BATINI Martina;ITA;3;;F;F;S;(Tauberbischofsheim);A;2014-03-14
BOUBAKRI Ines;1988-12-28;22;D;7;15;BATINI Martina;ITA;50;;F;F;S;(Turin);A;2011-03-11
BOUBAKRI Ines;1988-12-28;22;D;11;15;BATINI Martina;ITA;50;;F;F;S;(Gdansk);GP;2011-02-25
BOUBAKRI Ines;1988-12-28;25;V;15;14;BEHR Kristin;GER;154;;F;F;S;(St-Petersbourg);A;2014-02-26
BOUBAKRI Ines;1988-12-28;26;V;15;9;BEN JABALLAH Dorra;TUN;74;;E;F;S;Caire);CHZ;2015-06-12
BOUBAKRI Ines;1988-12-28;19;V;5;0;BENOIT Aurelie;FRA;238;;F;F;S;(St-Petersbourg);GP;2008-03-05
BOUBAKRI Ines;1988-12-28;23;V;15;7;BENTLEY Anna;GBR;112;;F;F;S;(Shanghai);A;2012-05-04
BOUBAKRI Ines;1988-12-28;26;D;2;5;BESBES Sarra;TUN;5;;E;F;S;Caire);CHZ;2015-06-12
BOUBAKRI Ines;1988-12-28;26;D;7;15;BESBES Sarra;TUN;5;;E;F;S;Caire);CHZ;2015-06-12
