Name;DOB;Age;V/D;TS;TR;Adversary;Country;Ranking;Table;Weapon;Sex;Category;City;Type;Date
DERIGLAZOVA Inna;1990-03-10;28;V;15;7;CHEN Qingyuan;CHN;45;;F;F;S;(Katowice);A;2019-01-11
DERIGLAZOVA Inna;1990-03-10;25;V;15;7;ALBOROVA Yana;RUS;41;;F;F;S;(Turin);GP;2015-11-27
DERIGLAZOVA Inna;1990-03-10;24;V;15;7;ALEXEEVA Viktoria;RUS;155;;F;F;S;(Shanghai);A;2014-05-02
DERIGLAZOVA Inna;1990-03-10;17;V;5;0;ANDERSSON Rebecka;SWE;184;;F;F;J;(Bochum);A;2007-12-15
DERIGLAZOVA Inna;1990-03-10;19;V;5;3;ANG Joan Liting;SGP;320;;F;F;S;(Turin);GP;2010-03-05
DERIGLAZOVA Inna;1990-03-10;17;D;2;5;ANTIPOVA Olga;KAZ;71;;F;F;S;(St-Petersbourg);GP;2008-03-05
DERIGLAZOVA Inna;1990-03-10;17;V;5;1;ANUSZEWSKA Justyna;POL;88;;F;F;J;(Bochum);A;2007-12-15
DERIGLAZOVA Inna;1990-03-10;20;V;5;1;ARTON Ashleigh;RSA;289;;F;F;J;(Baku);CHM;2010-04-06
DERIGLAZOVA Inna;1990-03-10;19;V;5;3;AUDARD Julie;FRA;177;;F;F;S;(Leipzig);A;2010-02-20
DERIGLAZOVA Inna;1990-03-10;28;D;12;15;AZUMA Sera;JPN;21;;F;F;S;(Alger);A;2018-11-23
DERIGLAZOVA Inna;1990-03-10;27;V;15;7;AZUMA Sera;JPN;35;;F;F;S;(Katowice);A;2018-01-12
DERIGLAZOVA Inna;1990-03-10;26;V;15;5;AZUMA Sera;JPN;32;;F;F;S;(Gdansk);A;2017-02-03
DERIGLAZOVA Inna;1990-03-10;17;V;5;1;BARLOW Nikki;GBR;246;;F;F;J;(Waldkirch);A;2008-01-27
DERIGLAZOVA Inna;1990-03-10;17;V;5;1;BARTKOWSKI Maria;GER;62;;F;F;S;(St-Petersbourg);GP;2008-03-05
DERIGLAZOVA Inna;1990-03-10;27;V;15;13;BATINI Martina;ITA;7;;F;F;S;(Tbilisi);CHZ;2017-06-13
DERIGLAZOVA Inna;1990-03-10;27;D;14;15;BATINI Martina;ITA;7;;F;F;S;(Shanghai);GP;2017-05-19
DERIGLAZOVA Inna;1990-03-10;25;D;9;15;BATINI Martina;ITA;9;;F;F;S;(Alger);A;2016-02-05
