Name;DOB;Age;V/D;TS;TR;Adversary;Country;Ranking;Table;Weapon;Sex;Category;City;Type;Date
ERRIGO Arianna;1988-06-06;30;D;10;15;DERIGLAZOVA Inna;RUS;1;;F;F;S;(Katowice);A;2019-01-11
ERRIGO Arianna;1988-06-06;30;D;9;15;DERIGLAZOVA Inna;RUS;1;;F;F;S;Sad);CHZ;2018-06-17
ERRIGO Arianna;1988-06-06;29;D;14;15;DERIGLAZOVA Inna;RUS;1;;F;F;S;(Turin);GP;2017-12-01
ERRIGO Arianna;1988-06-06;29;D;6;15;DERIGLAZOVA Inna;RUS;1;;F;F;S;(Leipzig);CHM;2017-07-19
ERRIGO Arianna;1988-06-06;29;V;15;14;DERIGLAZOVA Inna;RUS;1;;F;F;S;(Tbilisi);CHZ;2017-06-13
ERRIGO Arianna;1988-06-06;27;D;10;15;DERIGLAZOVA Inna;RUS;2;;F;F;S;(Tauberbischofsheim);A;2016-05-20
ERRIGO Arianna;1988-06-06;27;V;15;12;DERIGLAZOVA Inna;RUS;2;;F;F;S;(Gdansk);A;2016-01-15
ERRIGO Arianna;1988-06-06;27;D;10;15;DERIGLAZOVA Inna;RUS;2;;F;F;S;(Turin);GP;2015-11-27
ERRIGO Arianna;1988-06-06;27;D;13;15;DERIGLAZOVA Inna;RUS;3;;F;F;S;(Moscow);CHM;2015-07-15
ERRIGO Arianna;1988-06-06;26;V;15;12;DERIGLAZOVA Inna;RUS;3;;F;F;S;(Tauberbischofsheim);A;2015-05-01
ERRIGO Arianna;1988-06-06;26;V;15;12;DERIGLAZOVA Inna;RUS;3;;F;F;S;(Alger);A;2015-02-06
ERRIGO Arianna;1988-06-06;25;V;15;14;DERIGLAZOVA Inna;RUS;6;;F;F;S;(Marseille);GP;2014-05-23
ERRIGO Arianna;1988-06-06;25;V;15;14;DERIGLAZOVA Inna;RUS;6;;F;F;S;(Shanghai);A;2014-05-02
