Name;DOB;Age;V/D;TS;TR;Adversary;Country;Ranking;Table;Weapon;Sex;Category;City;Type;Date
KIEFER Lee;1994-06-15;24;D;12;15;EBERT Leonie;GER;6;;F;F;S;(Katowice);A;2019-01-11
KIEFER Lee;1994-06-15;22;V;15;4;EBERT Leonie;GER;28;;F;F;S;California);GP;2017-03-17
KIEFER Lee;1994-06-15;24;V;15;5;ACURERO GONZALEZ Anabella;VEN;84;;F;F;S;Havane);CHZ;2018-06-17
KIEFER Lee;1994-06-15;17;V;5;1;AIZAWA Satsuki;JPN;87;;F;F;J;(Moscow);CHM;2012-04-03
KIEFER Lee;1994-06-15;22;V;15;7;ALBOROVA Yana;RUS;69;;F;F;S;(Tauberbischofsheim);A;2017-04-28
KIEFER Lee;1994-06-15;20;V;15;4;ALBOROVA Yana;RUS;56;;F;F;S;(Alger);A;2015-02-06
KIEFER Lee;1994-06-15;19;V;15;8;ALEXEEVA Viktoria;RUS;2;;F;F;J;(Plovdiv);CHM;2014-04-06
KIEFER Lee;1994-06-15;20;V;15;2;ALICEA Pilar Cecilia Martina;PUR;150;;F;F;S;(Santiago);CHZ;2015-04-17
KIEFER Lee;1994-06-15;15;V;4;3;ANG Joan Liting;SGP;320;;F;F;S;(Antalya);CHM;2009-10-01
KIEFER Lee;1994-06-15;14;V;15;4;ANUSZEWSKA Justyna;POL;30;;F;F;J;(Lyon);A;2009-02-01
KIEFER Lee;1994-06-15;19;V;5;1;ARGUETA GONZALEZ Ana Clelia;ESA;222;;F;F;S;José);CHZ;2014-06-03
KIEFER Lee;1994-06-15;16;V;5;0;ARGUETA GONZALEZ Ana Clelia;ESA;292;;F;F;S;José);CHZ;2010-08-02
KIEFER Lee;1994-06-15;22;V;15;12;AZUMA Sera;JPN;32;;F;F;S;(Tauberbischofsheim);A;2017-04-28
KIEFER Lee;1994-06-15;14;V;5;3;BANNWARTH Claire;FRA;97;;F;F;J;(Lyon);A;2009-02-01
KIEFER Lee;1994-06-15;15;V;5;2;BARTKOWSKI Maria;GER;121;;F;F;S;(Gdansk);GP;2010-02-26
KIEFER Lee;1994-06-15;16;V;5;2;BATAR Borbala;HUN;353;;F;F;S;(Tauberbischofsheim);A;2011-02-11
KIEFER Lee;1994-06-15;23;V;15;7;BATINI Martina;ITA;67;;F;F;S;(Cancun);A;2017-10-13
KIEFER Lee;1994-06-15;22;V;15;11;BATINI Martina;ITA;7;;F;F;S;(Turin);GP;2016-12-02
KIEFER Lee;1994-06-15;21;V;15;5;BATINI Martina;ITA;9;;F;F;S;(Shanghai);GP;2016-06-03
KIEFER Lee;1994-06-15;21;D;6;15;BATINI Martina;ITA;9;;F;F;S;(Gdansk);A;2016-01-15
KIEFER Lee;1994-06-15;14;D;2;5;BATINI Martina;ITA;3;;F;F;J;(Belfast);CHM;2009-04-08
KIEFER Lee;1994-06-15;13;D;2;5;BATINI Martina;ITA;60;;F;F;J;(Waldkirch);A;2008-01-27
KIEFER Lee;1994-06-15;16;V;4;3;BENNETT Claire;GBR;252;;F;F;S;York);A;2010-06-19
KIEFER Lee;1994-06-15;16;V;5;1;BENTLEY Anna;GBR;77;;F;F;S;(Tauberbischofsheim);A;2011-02-11
KIEFER Lee;1994-06-15;18;V;5;0;BIMOVA Andrea;CZE;125;;F;F;J;(Porec);CHM;2013-04-09
KIEFER Lee;1994-06-15;16;V;5;1;BIMOVA Andrea;CZE;52;;F;F;J;(Waldkirch);A;2010-12-04
KIEFER Lee;1994-06-15;18;V;15;4;BINGENHEIMER Sandra;GER;42;;F;F;S;(St-Petersbourg);A;2013-03-01
KIEFER Lee;1994-06-15;15;V;5;1;BIRTHELMER Martina;GER;261;;F;F;J;(Waldkirch);A;2010-01-24
KIEFER Lee;1994-06-15;20;V;15;12;BIRYUKOVA Yulia;RUS;14;;F;F;S;(St-Maur);A;2014-11-07
KIEFER Lee;1994-06-15;15;D;7;10;BIRYUKOVA Yulia;RUS;8;;F;F;S;(Dallas);A;2009-06-21
KIEFER Lee;1994-06-15;15;V;15;2;BLACK Taylor;USA;218;;F;F;S;(Dallas);A;2009-06-21
KIEFER Lee;1994-06-15;17;V;15;13;BLAZE Anita;FRA;71;;F;F;S;(Marseille);GP;2012-04-28
KIEFER Lee;1994-06-15;20;V;15;3;BLOW Iman;USA;197;;F;F;S;(Cancun);A;2014-10-17
KIEFER Lee;1994-06-15;18;V;15;3;BOLDOR Maria;ROU;17;;F;F;J;(Porec);CHM;2013-04-09
KIEFER Lee;1994-06-15;17;D;12;15;BONNIER Amelie;FRA;50;;F;F;S;(St-Petersbourg);A;2012-06-03
KIEFER Lee;1994-06-15;24;D;13;15;BOUBAKRI Ines;TUN;4;;F;F;S;(Wuxi);CHM;2018-07-20
KIEFER Lee;1994-06-15;21;V;15;9;BOUBAKRI Ines;TUN;7;;F;F;S;Havane);GP;2016-03-11
KIEFER Lee;1994-06-15;17;V;15;11;BOUBAKRI Ines;TUN;8;;F;F;S;(Marseille);GP;2012-04-28
KIEFER Lee;1994-06-15;14;V;5;4;BOURDAKOU Anna;GRE;38;;F;F;J;(Lyon);A;2009-02-01
KIEFER Lee;1994-06-15;14;V;5;1;BOURDAKOU Anna;GRE;38;;F;F;J;(Budapest);A;2009-01-03
KIEFER Lee;1994-06-15;15;V;5;0;BROT Coralie;FRA;154;;F;F;J;(Lyon);A;2010-02-07
KIEFER Lee;1994-06-15;16;V;5;0;BUKACKOVA Zuzana;CZE;218;;F;F;J;(Zagreb);A;2011-01-22
KIEFER Lee;1994-06-15;23;V;15;11;BULCAO Ana Beatriz;BRA;91;;F;F;S;(Tauberbischofsheim);A;2018-04-27
KIEFER Lee;1994-06-15;23;V;5;3;BULCAO Ana Beatriz;BRA;87;;F;F;S;(Montreal);CHZ;2017-06-15
KIEFER Lee;1994-06-15;16;V;5;0;BULCAO Ana Beatriz;BRA;165;;F;F;S;José);CHZ;2010-08-02
KIEFER Lee;1994-06-15;19;V;15;3;CAMACHO Adriana;MEX;74;;F;F;S;José);CHZ;2014-06-03
KIEFER Lee;1994-06-15;20;V;5;0;CARBALLO BARRERA Ivania Carolina;ESA;140;;F;F;S;(Santiago);CHZ;2015-04-17
KIEFER Lee;1994-06-15;17;V;5;1;CARBALLO BARRERA Ivania Carolina;ESA;210;;F;F;S;Nevada);CHZ;2011-07-04
KIEFER Lee;1994-06-15;20;V;5;2;CECCHINI Gabriela;BRA;73;;F;F;S;(Santiago);CHZ;2015-04-17
KIEFER Lee;1994-06-15;15;V;15;7;CELLEROVA Michala;SVK;20;;F;F;J;(Baku);CHM;2010-04-06
KIEFER Lee;1994-06-15;15;V;5;1;CELLEROVA Michala;SVK;20;;F;F;J;(Baku);CHM;2010-04-06
KIEFER Lee;1994-06-15;17;V;15;11;CHEN Jinyan;CHN;17;;F;F;S;(Séoul);GP;2012-05-19
KIEFER Lee;1994-06-15;17;V;15;10;CHEN Jinyan;CHN;17;;F;F;S;(Catania);CHM;2011-10-09
KIEFER Lee;1994-06-15;15;D;12;14;CHEN Jinyan;CHN;38;;F;F;S;(Antalya);CHM;2009-10-01
KIEFER Lee;1994-06-15;17;V;15;7;CHEN Bingbing;CHN;175;;F;F;S;(Shanghai);A;2012-05-04
KIEFER Lee;1994-06-15;16;D;12;15;CHEN Bingbing;CHN;115;;F;F;S;(Shanghai);A;2011-05-06
KIEFER Lee;1994-06-15;17;V;5;3;CHENG Hiu Wai Valerie;HKG;147;;F;F;J;(Moscow);CHM;2012-04-03
KIEFER Lee;1994-06-15;15;D;1;5;CHENTSOVA Kateryna;UKR;83;;F;F;S;(Séoul);GP;2010-05-07
KIEFER Lee;1994-06-15;15;V;5;0;CHENTSOVA Kateryna;UKR;83;;F;F;S;(Gdansk);GP;2010-02-26
KIEFER Lee;1994-06-15;23;V;15;11;CHEUNG Kimberley Vanessa;HKG;46;;F;F;S;California);GP;2018-03-17
KIEFER Lee;1994-06-15;16;V;5;1;CHEUNG Ho King;HKG;137;;F;F;S;(Tauberbischofsheim);A;2011-02-11
KIEFER Lee;1994-06-15;23;D;13;15;CHRZANOWSKA Marika;POL;94;;F;F;S;(Shanghai);GP;2018-05-18
KIEFER Lee;1994-06-15;24;V;15;10;CINI Chiara;ITA;20;;F;F;S;(Katowice);A;2019-01-11
KIEFER Lee;1994-06-15;23;V;15;11;CINI Chiara;ITA;19;;F;F;S;(Tauberbischofsheim);A;2018-04-27
KIEFER Lee;1994-06-15;21;V;15;10;CINI Chiara;ITA;44;;F;F;S;(Tauberbischofsheim);A;2016-05-20
KIEFER Lee;1994-06-15;19;D;3;5;CIPRESSA Erica;ITA;6;;F;F;J;(Plovdiv);CHM;2014-04-06
KIEFER Lee;1994-06-15;19;V;15;6;CIPRESSA Erica;ITA;6;;F;F;J;(Plovdiv);CHM;2014-04-06
KIEFER Lee;1994-06-15;21;V;15;8;CIPRIANI Valentina;ITA;67;;F;F;S;Havane);GP;2016-03-11
KIEFER Lee;1994-06-15;21;V;15;10;CIPRIANI Valentina;ITA;67;;F;F;S;(Turin);GP;2015-11-27
KIEFER Lee;1994-06-15;19;D;10;11;CIPRIANI Valentina;ITA;37;;F;F;S;(Budapest);A;2014-02-07
KIEFER Lee;1994-06-15;23;V;5;0;COMERFORD Shannon;CAN;73;;F;F;S;(Montreal);CHZ;2017-06-15
KIEFER Lee;1994-06-15;22;V;15;7;COMERFORD Shannon;CAN;69;;F;F;S;(Panama);CHZ;2016-06-23
KIEFER Lee;1994-06-15;19;D;4;5;COMERFORD Shannon;CAN;94;;F;F;S;(Cartagena);CHZ;2013-06-16
KIEFER Lee;1994-06-15;15;V;5;4;COMERFORD Shannon;CAN;58;;F;F;S;(Antalya);CHM;2009-10-01
KIEFER Lee;1994-06-15;14;V;5;1;COOK Anne-Marie;FRA;327;;F;F;J;(Lyon);A;2009-02-01
KIEFER Lee;1994-06-15;16;V;5;0;CORNACCHIA Milvia;CRC;294;;F;F;S;José);CHZ;2010-08-02
KIEFER Lee;1994-06-15;19;V;5;1;CORREA Celia;MEX;130;;F;F;S;(Cartagena);CHZ;2013-06-16
KIEFER Lee;1994-06-15;18;V;5;4;CORREA Celia;MEX;93;;F;F;S;(Cancun);CHZ;2012-06-17
KIEFER Lee;1994-06-15;16;V;5;4;CZEGLEDY Edina;HUN;240;;F;F;S;(Turin);A;2011-03-11
KIEFER Lee;1994-06-15;15;V;5;2;DABROCK Oxana;MDA;189;;F;F;S;(Marseille);GP;2010-03-26
KIEFER Lee;1994-06-15;15;V;4;3;DAI Huili;CHN;31;;F;F;S;(Séoul);GP;2010-05-07
KIEFER Lee;1994-06-15;18;V;5;1;DAVILA Monica B.;PUR;212;;F;F;S;(Cancun);CHZ;2012-06-17
KIEFER Lee;1994-06-15;14;V;5;0;DAVILA Daniela;ECU;318;;F;F;J;(Belfast);CHM;2009-04-08
KIEFER Lee;1994-06-15;19;V;5;1;DAYCHEVA Maria;BUL;346;;F;F;J;(Plovdiv);CHM;2014-04-06
KIEFER Lee;1994-06-15;23;D;13;15;DE COSTANZO Valentina;ITA;31;;F;F;S;(Turin);GP;2017-12-01
KIEFER Lee;1994-06-15;16;V;5;1;DE JULIIS Camilla;ITA;122;;F;F;J;(Waldkirch);A;2010-12-04
KIEFER Lee;1994-06-15;23;D;10;15;DERIGLAZOVA Inna;RUS;1;;F;F;S;(Tauberbischofsheim);A;2018-04-27
KIEFER Lee;1994-06-15;23;D;14;15;DERIGLAZOVA Inna;RUS;1;;F;F;S;California);GP;2018-03-17
KIEFER Lee;1994-06-15;23;D;4;15;DERIGLAZOVA Inna;RUS;1;;F;F;S;(Katowice);A;2018-01-12
KIEFER Lee;1994-06-15;22;V;15;14;DERIGLAZOVA Inna;RUS;1;;F;F;S;(Tauberbischofsheim);A;2017-04-28
KIEFER Lee;1994-06-15;22;V;15;9;DERIGLAZOVA Inna;RUS;1;;F;F;S;California);GP;2017-03-17
