Name;DOB;Age;V/D;TS;TR;Adversary;Country;Ranking;Table;Weapon;Sex;Category;City;Type;Date
NAVARRIA Mara;1985-07-18;33;D;12;15;KHRAPINA Violetta;RUS;91;;E;F;S;(Tallin);A;2018-11-09
NAVARRIA Mara;1985-07-18;28;V;5;0;ABDULLA Khadija;QAT;574;;E;F;S;(Doha);A;2014-01-17
NAVARRIA Mara;1985-07-18;28;V;5;2;ABDURAHMANOVA Gulynaz;UZB;202;;E;F;S;(Budapest);CHM;2013-08-05
NAVARRIA Mara;1985-07-18;22;V;5;2;ABIEVA Mergul;KGZ;101;;E;F;S;(St-Petersbourg);A;2008-03-08
NAVARRIA Mara;1985-07-18;26;V;5;0;AL-MUSALMANI Aisha;QAT;523;;E;F;S;(Doha);A;2012-02-11
NAVARRIA Mara;1985-07-18;23;V;5;2;ALBINI Elisa;GBR;153;;E;F;S;(Nankin);GP;2009-05-15
NAVARRIA Mara;1985-07-18;30;V;5;3;ALDANA Naiara;ESP;316;;E;F;S;(Legnano);A;2015-10-23
NAVARRIA Mara;1985-07-18;23;V;5;3;ALEKSEJEVA Olga;EST;187;;E;F;S;(Rome);GP;2009-02-06
NAVARRIA Mara;1985-07-18;22;V;5;3;ALEKSEJEVA Olga;EST;386;;E;F;S;(Budapest);GP;2008-01-18
NAVARRIA Mara;1985-07-18;32;V;15;10;ALIBEKOVA Assel;KAZ;162;;E;F;S;(Doha);GP;2017-12-08
NAVARRIA Mara;1985-07-18;32;V;5;4;ALIBEKOVA Assel;KAZ;162;;E;F;S;(Suzhou);A;2017-11-10
NAVARRIA Mara;1985-07-18;29;V;5;2;ALIBEKOVA Assel;KAZ;78;;E;F;S;(Moscow);CHM;2015-07-14
NAVARRIA Mara;1985-07-18;26;V;15;11;ALIBERT Nathalie;FRA;64;;E;F;S;(Budapest);GP;2012-02-25
NAVARRIA Mara;1985-07-18;25;D;2;5;ALIBERT Nathalie;FRA;62;;E;F;S;(Nankin);GP;2011-06-11
NAVARRIA Mara;1985-07-18;29;D;4;5;ANDRYUSHINA Tatyana;RUS;33;;E;F;S;(Doha);GP;2014-12-06
NAVARRIA Mara;1985-07-18;23;D;4;5;ANDRYUSHINA Tatyana;RUS;286;;E;F;S;(Lobnya);A;2009-03-21
