Name;DOB;Age;V/D;TS;TR;Adversary;Country;Ranking;Table;Weapon;Sex;Category;City;Type;Date
VOLPI Alice;1992-04-15;26;D;14;15;UENO Yuka;JPN;48;;F;F;S;(Katowice);A;2019-01-11
VOLPI Alice;1992-04-15;22;V;5;2;ABE Hiromi;JPN;82;;F;F;S;(Séoul);GP;2014-04-26
VOLPI Alice;1992-04-15;19;V;5;3;ABE Natsuho;JPN;250;;F;F;J;(Lyon);A;2012-02-04
VOLPI Alice;1992-04-15;18;D;4;5;ABE Natsuho;JPN;165;;F;F;J;(Lyon);A;2011-02-05
VOLPI Alice;1992-04-15;18;D;2;5;AKCHULPANOVA Daria;RUS;72;;F;F;J;(Bratislava);A;2010-11-21
VOLPI Alice;1992-04-15;23;V;15;11;ALBOROVA Yana;RUS;56;;F;F;S;(Baku);NF;2015-06-24
VOLPI Alice;1992-04-15;22;V;5;3;ALBOROVA Yana;RUS;56;;F;F;S;(Gdansk);A;2015-01-16
VOLPI Alice;1992-04-15;20;V;5;3;ALBOROVA Yana;RUS;247;;F;F;S;(St-Petersbourg);A;2012-06-03
VOLPI Alice;1992-04-15;19;D;14;15;ALBOROVA Yana;RUS;34;;F;F;J;(Zagreb);A;2012-01-21
VOLPI Alice;1992-04-15;19;V;15;10;ALBOROVA Yana;RUS;34;;F;F;J;(Bochum);A;2011-12-03
VOLPI Alice;1992-04-15;18;V;5;3;ALEXEEVA Viktoria;RUS;51;;F;F;J;(Waldkirch);A;2010-12-04
VOLPI Alice;1992-04-15;19;V;5;2;ALPATOV Avigail;ISR;173;;F;F;J;(Porec);CHZ;2012-03-01
VOLPI Alice;1992-04-15;18;V;5;4;ALPATOV Avigail;ISR;248;;F;F;J;Morte);CHM;2011-04-01
VOLPI Alice;1992-04-15;17;V;5;0;ANDERSSON Rebecka;SWE;211;;F;F;J;(Budapest);A;2010-01-05
VOLPI Alice;1992-04-15;15;V;5;1;ANDREI Andreea;ROU;16;;F;F;J;(Waldkirch);A;2008-01-27
VOLPI Alice;1992-04-15;15;V;5;0;ANUSZEWSKA Justyna;POL;88;;F;F;J;(Budapest);A;2008-01-04
VOLPI Alice;1992-04-15;16;V;5;4;ARNAUDOV Theresa;GER;84;;F;F;J;(Waldkirch);A;2009-01-25
VOLPI Alice;1992-04-15;20;V;5;1;ASANO Saki;JPN;247;;F;F;S;(Turin);A;2013-03-22
VOLPI Alice;1992-04-15;26;V;15;8;AZUMA Rio;JPN;148;;F;F;S;(Shanghai);GP;2018-05-18
VOLPI Alice;1992-04-15;16;V;4;1;BAILEY Victoria;FRA;15;;F;F;J;Sabbiadoro);A;2008-12-05
VOLPI Alice;1992-04-15;15;V;15;9;BAILEY Victoria;FRA;71;;F;F;J;(Bratislava);A;2007-10-13
VOLPI Alice;1992-04-15;19;V;15;6;BALOGH Reka;ROU;83;;F;F;J;(Luxembourg);A;2011-11-05
VOLPI Alice;1992-04-15;19;V;5;4;BARTKOWSKI Maria;GER;159;;F;F;S;(St-Petersbourg);A;2011-06-05
VOLPI Alice;1992-04-15;18;V;5;1;BARTL Thekla;GER;187;;F;F;J;(Waldkirch);A;2010-12-04
VOLPI Alice;1992-04-15;26;D;11;15;BATINI Martina;ITA;63;;F;F;S;(Alger);A;2018-11-23
VOLPI Alice;1992-04-15;23;V;15;13;BATINI Martina;ITA;9;;F;F;S;(Cancun);A;2015-10-16
VOLPI Alice;1992-04-15;22;V;15;13;BATINI Martina;ITA;15;;F;F;S;(St-Maur);A;2014-11-07
VOLPI Alice;1992-04-15;16;V;15;1;BATINI Martina;ITA;3;;F;F;J;(Belfast);CHM;2009-04-08
VOLPI Alice;1992-04-15;16;D;10;15;BATINI Martina;ITA;3;;F;F;J;(Budapest);A;2009-01-03
VOLPI Alice;1992-04-15;16;V;15;8;BATINI Martina;ITA;3;;F;F;J;Sabbiadoro);A;2008-12-05
VOLPI Alice;1992-04-15;16;V;5;0;BECK Rachel;USA;283;;F;F;J;Sabbiadoro);A;2008-12-05
VOLPI Alice;1992-04-15;26;V;15;6;BEHR Leandra;GER;129;;F;F;S;(Alger);A;2018-11-23
VOLPI Alice;1992-04-15;23;V;5;1;BEHR Leandra;GER;314;;F;F;S;(Tauberbischofsheim);A;2015-05-01
VOLPI Alice;1992-04-15;19;V;5;2;BEHR Leandra;GER;67;;F;F;J;(Bochum);A;2011-12-03
VOLPI Alice;1992-04-15;16;V;5;4;BEHR Kristin;GER;111;;F;F;J;(Bochum);A;2008-12-13
