Name;DOB;Age;V/D;TS;TR;Adversary;Country;Ranking;Table;Weapon;Sex;Category;City;Type;Date
EBERT Leonie;1999-10-04;19;D;9;13;DERIGLAZOVA Inna;RUS;1;;F;F;S;(Katowice);A;2019-01-11
EBERT Leonie;1999-10-04;17;D;9;15;ABDRAKHMANOVA Adelya;RUS;2;;F;F;J;(Plovdiv);CHZ;2017-03-06
EBERT Leonie;1999-10-04;17;V;14;8;ABDRAKHMANOVA Adelya;RUS;2;;F;F;J;(Udine);A;2017-02-18
EBERT Leonie;1999-10-04;17;V;15;12;ABDRAKHMANOVA Adelya;RUS;2;;F;F;J;(Bochum);A;2016-10-28
EBERT Leonie;1999-10-04;16;V;15;7;ABDRAKHMANOVA Adelya;RUS;6;;F;F;J;(Lyon);A;2015-12-12
EBERT Leonie;1999-10-04;15;V;5;2;ABDURAZAKOVA  Mushtariy ;RUS;6;;F;F;J;(Tashkent);CHM;2015-04-05
EBERT Leonie;1999-10-04;16;D;2;5;ABE Hiromi;JPN;156;;F;F;S;(Gdansk);A;2016-01-15
EBERT Leonie;1999-10-04;17;V;5;4;ACURERO GONZALEZ Anabella;VEN;105;;F;F;J;(Plovdiv);CHM;2017-04-07
EBERT Leonie;1999-10-04;15;V;5;0;ADJABI Feriel;ALG;313;;F;F;S;(Alger);A;2015-02-06
EBERT Leonie;1999-10-04;17;V;5;0;AITZHANOVA Tangsholpan;KAZ;314;;F;F;J;(Lyon);A;2016-12-17
EBERT Leonie;1999-10-04;17;D;10;15;ALBOROVA Yana;RUS;69;;F;F;S;(Shanghai);GP;2017-05-19
EBERT Leonie;1999-10-04;14;V;5;4;ALBOROVA Yana;RUS;10;;F;F;J;(Bratislava);A;2013-11-16
EBERT Leonie;1999-10-04;18;V;5;1;ALMODOVAR Paloma;ESP;330;;F;F;J;(Udine);A;2018-01-06
EBERT Leonie;1999-10-04;18;D;2;5;ANDREYENKA Hanna;BLR;198;;F;F;J;(Udine);A;2018-01-06
EBERT Leonie;1999-10-04;18;D;8;15;AZUMA Sera;JPN;35;;F;F;S;(Katowice);A;2018-01-12
EBERT Leonie;1999-10-04;18;D;1;5;AZUMA Rio;JPN;148;;F;F;S;(St-Maur);A;2017-11-03
EBERT Leonie;1999-10-04;17;V;5;2;AZUMA Rio;JPN;235;;F;F;S;(Shanghai);GP;2017-05-19
EBERT Leonie;1999-10-04;18;V;5;1;BARDAGUI Safia;MAR;392;;F;F;J;(Verona);CHM;2018-04-07
EBERT Leonie;1999-10-04;18;V;5;1;BARTALOVA Vivien;SVK;391;;F;F;J;(Mödling);A;2018-02-17
EBERT Leonie;1999-10-04;18;V;5;0;BARTALOVA Vivien;SVK;391;;F;F;J;(Zagreb);A;2018-01-27
