Name;DOB;Age;V/D;TS;TR;Adversary;Country;Ranking;Table;Weapon;Sex;Category;City;Type;Date
HARVEY Eleanor;1995-01-14;23;D;5;15;DE COSTANZO Valentina;ITA;31;;F;F;S;(Katowice);A;2019-01-11
HARVEY Eleanor;1995-01-14;21;D;14;15;DE COSTANZO Valentina;ITA;47;;F;F;S;(Alger);A;2017-01-13
HARVEY Eleanor;1995-01-14;21;V;5;3;DE COSTANZO Valentina;ITA;65;;F;F;S;(Shanghai);GP;2016-06-03
HARVEY Eleanor;1995-01-14;14;V;5;1;ABDELAZIZ Nadine;EGY;240;;F;F;J;(Montreal);A;2009-10-24
HARVEY Eleanor;1995-01-14;20;V;2;1;ABE Hiromi;JPN;156;;F;F;S;(Turin);GP;2015-11-27
HARVEY Eleanor;1995-01-14;20;D;3;4;ABE Hiromi;JPN;63;;F;F;S;(Moscow);CHM;2015-07-15
HARVEY Eleanor;1995-01-14;17;V;5;4;ABE Hiromi;JPN;267;;F;F;S;(Tauberbischofsheim);A;2012-02-10
HARVEY Eleanor;1995-01-14;20;V;5;0;ABU BAKAR Natasha Ezzra;MAS;146;;F;F;S;(Shanghai);GP;2015-05-15
HARVEY Eleanor;1995-01-14;14;V;5;1;AFONSO Catarina;POR;165;;F;F;J;(Montreal);A;2009-10-24
HARVEY Eleanor;1995-01-14;19;V;5;0;AIZAWA Satsuki;JPN;306;;F;F;S;(Shanghai);A;2014-05-02
HARVEY Eleanor;1995-01-14;20;V;5;0;AKIN Merve;TUR;310;;F;F;S;(Kocaeli);SA;2015-12-12
HARVEY Eleanor;1995-01-14;19;D;1;5;ALBOROVA Yana;RUS;10;;F;F;J;(Plovdiv);CHM;2014-04-06
HARVEY Eleanor;1995-01-14;17;V;5;1;AMIEN Mahitab;EGY;37;;F;F;J;(Moscow);CHM;2012-04-03
HARVEY Eleanor;1995-01-14;18;V;5;2;ANG Joan Liting;SGP;126;;F;F;S;(Budapest);CHM;2013-08-05
HARVEY Eleanor;1995-01-14;19;V;5;2;ARGENTI Beatrice;ITA;58;;F;F;J;(Mödling);A;2015-01-10
HARVEY Eleanor;1995-01-14;19;V;14;11;ARGENTI Beatrice;ITA;117;;F;F;J;(Zagreb);A;2014-01-18
HARVEY Eleanor;1995-01-14;19;V;5;1;ARIAS CUELLAR Mirian Gabriela;ESA;231;;F;F;S;(Cancun);A;2014-10-17
HARVEY Eleanor;1995-01-14;19;V;5;0;ARNAO Lorena;PER;69;;F;F;J;(Plovdiv);CHM;2014-04-06
HARVEY Eleanor;1995-01-14;19;V;5;2;ARNAO Lorena;PER;69;;F;F;J;(Guatemala);CHZ;2014-02-25
HARVEY Eleanor;1995-01-14;15;V;5;1;ARTON Ashleigh;RSA;289;;F;F;J;(Baku);CHM;2010-04-06
HARVEY Eleanor;1995-01-14;19;V;15;9;BALOGH Orsolya;HUN;120;;F;F;J;(Zagreb);A;2014-01-18
HARVEY Eleanor;1995-01-14;14;V;5;1;BARLOW Nikki;GBR;152;;F;F;J;(Budapest);A;2010-01-05
HARVEY Eleanor;1995-01-14;15;D;3;5;BASS Krystal;PUR;123;;F;F;S;York);A;2010-06-19
HARVEY Eleanor;1995-01-14;21;D;11;15;BATINI Martina;ITA;9;;F;F;S;(Gdansk);A;2016-01-15
HARVEY Eleanor;1995-01-14;19;D;4;15;BATINI Martina;ITA;3;;F;F;S;(Shanghai);A;2014-05-02
HARVEY Eleanor;1995-01-14;19;D;2;5;BEHR Kristin;GER;198;;F;F;S;(St-Maur);A;2014-11-07
HARVEY Eleanor;1995-01-14;19;D;3;4;BEHR Kristin;GER;154;;F;F;S;(Shanghai);A;2014-05-02
HARVEY Eleanor;1995-01-14;15;D;2;5;BEHR Kristin;GER;105;;F;F;J;(Waldkirch);A;2010-12-04
HARVEY Eleanor;1995-01-14;18;D;4;5;BEHR Leandra;GER;141;;F;F;J;(Lyon);A;2013-02-02
HARVEY Eleanor;1995-01-14;19;V;3;2;BIAGIOTTI Matilde;ITA;31;;F;F;J;(Zagreb);A;2014-01-18
HARVEY Eleanor;1995-01-14;18;D;4;5;BIANCHIN Elisabetta;ITA;53;;F;F;J;(Lyon);A;2013-02-02
HARVEY Eleanor;1995-01-14;17;V;15;3;BIRO Fanni;HUN;41;;F;F;J;(Moscow);CHM;2012-04-03
HARVEY Eleanor;1995-01-14;19;V;5;1;BIRYUKOVA Yulia;RUS;12;;F;F;S;(Shanghai);A;2014-05-02
HARVEY Eleanor;1995-01-14;19;D;2;5;BITTEROVA Kitti;SVK;122;;F;F;S;(St-Maur);A;2014-11-07
HARVEY Eleanor;1995-01-14;18;V;5;4;BLANC Lise;FRA;211;;F;F;J;(Lyon);A;2013-02-02
HARVEY Eleanor;1995-01-14;19;D;7;15;BLAZE Anita;FRA;20;;F;F;S;(Cancun);A;2014-10-17
HARVEY Eleanor;1995-01-14;22;D;12;15;BLOW Iman;USA;65;;F;F;S;(St-Maur);A;2017-11-03
HARVEY Eleanor;1995-01-14;20;V;15;8;BLOW Iman;USA;4;;F;F;J;(Tashkent);CHM;2015-04-05
HARVEY Eleanor;1995-01-14;17;D;4;5;BOCHENEK Magda;POL;142;;F;F;J;(Leszno);A;2012-12-15
HARVEY Eleanor;1995-01-14;19;V;10;2;BORELLA Claudia;ITA;20;;F;F;J;(Mödling);A;2015-01-10
HARVEY Eleanor;1995-01-14;18;V;5;0;BOTROS Christine;BRA;218;;F;F;S;(Cartagena);CHZ;2013-06-16
HARVEY Eleanor;1995-01-14;21;D;13;15;BOUBAKRI Ines;TUN;7;;F;F;S;Janeiro);JO;2016-08-10
HARVEY Eleanor;1995-01-14;20;V;5;3;BRAUN Julia;GER;393;;F;F;S;(Tauberbischofsheim);A;2015-05-01
HARVEY Eleanor;1995-01-14;18;V;15;10;BRIND'AMOUR Pamela;CAN;27;;F;F;J;(Ponce);CHZ;2013-02-07
HARVEY Eleanor;1995-01-14;21;V;5;3;BROT Coralie;FRA;114;;F;F;S;(Alger);A;2016-02-05
HARVEY Eleanor;1995-01-14;20;V;15;8;BROT Coralie;FRA;16;;F;F;J;(Tashkent);CHM;2015-04-05
HARVEY Eleanor;1995-01-14;17;D;9;10;BROT Coralie;FRA;47;;F;F;J;(Bochum);A;2012-12-01
HARVEY Eleanor;1995-01-14;17;D;2;5;BROT Coralie;FRA;47;;F;F;J;(Bochum);A;2012-12-01
HARVEY Eleanor;1995-01-14;21;V;15;4;BULCAO Ana Beatriz;BRA;72;;F;F;S;(Panama);CHZ;2016-06-23
HARVEY Eleanor;1995-01-14;20;V;14;9;BULCAO Ana Beatriz;BRA;72;;F;F;S;(Ankara);SA;2015-11-14
HARVEY Eleanor;1995-01-14;20;D;2;3;BULCAO Ana Beatriz;BRA;72;;F;F;S;(Cancun);SA;2015-10-13
