Name;DOB;Age;V/D;TS;TR;Adversary;Country;Ranking;Table;Weapon;Sex;Category;City;Type;Date
RYAN Kelleigh;1987-01-15;31;D;13;14;CASTANIE Rozene;FRA;127;;F;F;S;(Katowice);A;2019-01-11
RYAN Kelleigh;1987-01-15;27;V;5;0;CASTANIE Rozene;FRA;412;;F;F;S;(St-Maur);A;2014-11-07
RYAN Kelleigh;1987-01-15;21;V;5;2;ABBE Cory;USA;301;;F;F;S;Vegas);A;2008-06-21
RYAN Kelleigh;1987-01-15;28;V;5;1;ABE Hiromi;JPN;63;;F;F;S;(Alger);A;2015-02-06
RYAN Kelleigh;1987-01-15;28;V;7;6;ABE Hiromi;JPN;63;;F;F;S;(Gdansk);A;2015-01-16
RYAN Kelleigh;1987-01-15;27;D;2;5;ABE Hiromi;JPN;82;;F;F;S;(Shanghai);A;2014-05-02
RYAN Kelleigh;1987-01-15;27;V;5;0;ABEYNAYAKA Ashoka Udayangani;SRI;294;;F;F;S;(Kazan);CHM;2014-07-16
RYAN Kelleigh;1987-01-15;31;V;5;0;AINI Nurul;INA;170;;F;F;S;(Wuxi);CHM;2018-07-20
RYAN Kelleigh;1987-01-15;27;D;8;15;ALBOROVA Yana;RUS;56;;F;F;S;(Cancun);A;2014-10-17
RYAN Kelleigh;1987-01-15;30;V;5;1;ALICEA Pilar Cecilia Martina;PUR;399;;F;F;S;California);GP;2017-03-17
RYAN Kelleigh;1987-01-15;23;D;3;4;ANDREI Andreea;PUR;399;;F;F;S;(Paris);CHM;2010-11-05
RYAN Kelleigh;1987-01-15;22;D;2;5;ANDREI Andreea;ROU;321;;F;F;S;(Antalya);CHM;2009-10-01
RYAN Kelleigh;1987-01-15;26;V;5;0;ANUSZEWSKA Justyna;POL;271;;F;F;S;(Gdansk);GP;2013-02-01
RYAN Kelleigh;1987-01-15;23;V;5;1;ANUSZEWSKA Justyna;POL;243;;F;F;S;(Gdansk);GP;2010-02-26
RYAN Kelleigh;1987-01-15;31;V;5;1;ARGUETA GONZALEZ Ana Clelia;ESA;392;;F;F;S;Havane);CHZ;2018-06-17
RYAN Kelleigh;1987-01-15;27;V;5;0;ARGUETA GONZALEZ Ana Clelia;ESA;222;;F;F;S;José);CHZ;2014-06-03
RYAN Kelleigh;1987-01-15;30;V;3;2;AZUMA Sera;JPN;32;;F;F;S;(Leipzig);CHM;2017-07-19
RYAN Kelleigh;1987-01-15;20;D;4;5;BAILEY Victoria;FRA;377;;F;F;S;(Marseille);GP;2007-03-23
RYAN Kelleigh;1987-01-15;30;V;5;1;BANBURY Justine;USA;432;;F;F;S;(Tauberbischofsheim);A;2017-04-28
RYAN Kelleigh;1987-01-15;23;D;2;5;BANNWARTH Claire;FRA;141;;F;F;S;(Leipzig);A;2010-02-20
RYAN Kelleigh;1987-01-15;22;D;2;5;BARTKOWSKI Maria;GER;38;;F;F;S;(Gdansk);GP;2009-02-27
RYAN Kelleigh;1987-01-15;22;D;1;2;BARTKOWSKI Nicole;GER;214;;F;F;S;(Leipzig);A;2009-02-21
RYAN Kelleigh;1987-01-15;26;D;2;5;BARTL Thekla;GER;276;;F;F;S;(Budapest);A;2013-02-08
RYAN Kelleigh;1987-01-15;24;V;4;3;BASS Krystal;PUR;130;;F;F;S;Nevada);CHZ;2011-07-04
RYAN Kelleigh;1987-01-15;23;V;4;3;BASS Krystal;PUR;123;;F;F;S;José);CHZ;2010-08-02
RYAN Kelleigh;1987-01-15;31;D;4;5;BATINI Martina;ITA;63;;F;F;S;(Katowice);A;2019-01-11
RYAN Kelleigh;1987-01-15;28;V;5;1;BEARDMORE Kate;GBR;255;;F;F;S;(Copenhague);SA;2015-05-10
RYAN Kelleigh;1987-01-15;28;V;15;7;BEARDMORE Kate;GBR;255;;F;F;S;(Copenhague);SA;2015-05-10
RYAN Kelleigh;1987-01-15;28;V;5;3;BEHR Kristin;GER;151;;F;F;S;(Cancun);SA;2015-10-13
RYAN Kelleigh;1987-01-15;24;V;5;1;BEHR Kristin;GER;341;;F;F;S;(Tauberbischofsheim);A;2011-02-11
RYAN Kelleigh;1987-01-15;28;D;4;5;BEHR Leandra;GER;314;;F;F;S;(Gdansk);A;2015-01-16
RYAN Kelleigh;1987-01-15;25;V;5;1;BENNETT Claire;GBR;226;;F;F;S;(Tauberbischofsheim);A;2012-02-10
RYAN Kelleigh;1987-01-15;24;D;3;5;BENNETT Claire;GBR;113;;F;F;S;(St-Petersbourg);A;2011-06-05
RYAN Kelleigh;1987-01-15;24;V;5;4;BENNETT Claire;GBR;113;;F;F;S;(Shanghai);A;2011-05-06
RYAN Kelleigh;1987-01-15;22;D;2;3;BENNETT Claire;GBR;119;;F;F;S;(Gdansk);GP;2009-02-27
RYAN Kelleigh;1987-01-15;25;V;5;1;BERTA Adrienn;HUN;345;;F;F;S;(Tauberbischofsheim);A;2012-02-10
RYAN Kelleigh;1987-01-15;22;D;2;5;BERTA Adrienn;HUN;205;;F;F;S;(Antalya);CHM;2009-10-01
RYAN Kelleigh;1987-01-15;31;V;15;9;BERTHIER Amita;SGP;117;;F;F;S;(Copenhague);SA;2018-10-07
