
RANKING : OFFICIAL - 2006/2007
fie
Event : S

Weapon : E

Gender : F

09.09.06 Arhus (SA)	15.10.06 Turku (SA)	28.10.06 Copenhague (SA)	11.11.06 Oslo (SA)	25.11.06 Belgrade (SA)	19.01.07 Budapest (GP)	27.01.07 Prague (A)	09.02.07 Rome (GP)	10.02.07 Stockholm (SA)	16.02.07 Barcelone (GP)	24.02.07 Saint-Maur (A)	03.03.07 Tauberbischofsheim (A)	10.03.07 Edinburgh (SA)	10.03.07 St-Petersbourg (A)	17.03.07 Florina (A)	24.03.07 Luxembourg (A)	05.05.07 Split (SA)	18.05.07 Nankin (GP)	26.05.07 Sydney (A)	01.06.07 Montréal (GP)	08.06.07 La Havane (A)	23.06.07 Newcastle (SA)	02.07.07 Gand (CHZ)	12.07.07 Alger (CHZ)	22.08.07 Nantong (CHZ)	27.08.07 Montreal (CHZ)	22.09.07 Istanbul (SA)	30.09.07 St-Petersbourg (CHM)	Total
1	LI Na	CHN						40.00	32.00	(16.00)		(4.00)					20.00	(4.00)		40.00	20.00	(16.00)	(4.00)				64.00			78.00	310.00
2	FLESSEL-COLOVIC Laura	FRA						64.00		(4.00)		(16.00)	32.00			26.00		32.00		(16.00)	(8.00)	28.00	(14.00)		64.00					12.00	262.00
3	SZASZ-KOVACS Emese	HUN						52.00		52.00		16.00		32.00			(14.00)			(16.00)	32.00	(4.00)	(14.00)		28.00					12.00	238.00
4	HEIDEMANN Britta	GER						16.00		16.00		28.00		(2.00)		32.00		(8.00)		16.00	(4.00)	(4.00)	(4.00)		40.00					96.00	236.00
5	KIRALY Hajnalka	FRA						(4.00)		40.00		16.00	26.00					(4.00)		28.00	(2.00)	64.00	(2.00)		8.00					12.00	196.00
6	ZHANG Li	CHN						8.00	(2.00)	16.00		52.00					26.00	(4.00)		(8.00)	8.00	(4.00)	(2.00)				40.00			12.00	166.00
7	LOGUNOVA Tatiana	RUS						8.00	(0.00)	(0.00)		(0.00)		(2.00)		14.00		(2.00)		64.00	(4.00)	8.00	14.00		28.00					24.00	164.00
8	POPESCU Ana Maria	ROU						16.00	26.00	(16.00)		40.00		(2.00)			32.00			(8.00)		(8.00)	20.00		16.00					12.00	162.00
9	ZHONG Weiping	CHN						(4.00)	(2.00)	28.00		(8.00)					(4.00)	20.00		16.00	14.00	16.00	(2.00)				28.00			24.00	154.00
10	BOKEL Claudia	GER						(4.00)		(8.00)		(4.00)		(4.00)		14.00	20.00	20.00		28.00	(2.00)	52.00	(2.00)		4.00					12.00	152.00
11	SCHALM Sherraine	CAN						(8.00)		(8.00)		16.00		26.00			14.00			(4.00)	14.00	28.00	(4.00)					40.00		6.00	148.00
12	SHEMYAKINA Yana	UKR						28.00		28.00		8.00		(4.00)		(2.00)				28.00	(4.00)	(4.00)	8.00		16.00					24.00	144.00
